"Confirmed","Deaths","Recovered","day_cont","province_country","day_100_cases","day_100","deaths_to_cases"
177,3,2,49,"California, US",48,1,1.69491525423729
221,4,6,50,"California, US",48,2,1.80995475113122
282,4,6,51,"California, US",48,3,1.41843971631206
340,5,6,52,"California, US",48,4,1.47058823529412
426,6,6,53,"California, US",48,5,1.40845070422535
557,7,6,54,"California, US",48,6,1.25673249551167
155,5,0,54,"Florida, US",53,1,3.2258064516129
698,12,6,55,"California, US",48,7,1.71919770773639
216,6,0,55,"Florida, US",53,2,2.77777777777778
751,13,0,56,"California, US",48,8,1.73102529960053
314,7,0,56,"Florida, US",53,3,2.22929936305732
173,3,0,56,"Texas, US",55,1,1.73410404624277
952,18,0,57,"California, US",48,9,1.89075630252101
417,9,0,57,"Florida, US",53,4,2.15827338129496
260,5,0,57,"Texas, US",55,2,1.92307692307692
150,0,0,57,"South Africa",56,1,0
1177,23,0,58,"California, US",48,10,1.95412064570943
563,10,0,58,"Florida, US",53,5,1.77619893428064
394,5,0,58,"Texas, US",55,3,1.26903553299492
202,0,0,58,"South Africa",56,2,0
1364,24,0,59,"California, US",48,11,1.75953079178886
659,13,0,59,"Florida, US",53,6,1.97268588770865
581,5,0,59,"Texas, US",55,4,0.860585197934595
240,0,0,59,"South Africa",56,3,0
158,4,3,59,"Argentina",58,1,2.53164556962025
266,4,27,60,"Argentina",58,2,1.50375939849624
274,0,2,60,"South Africa",56,4,0
1646,30,0,60,"California, US",48,12,1.82260024301337
1004,13,0,60,"Florida, US",53,7,1.29482071713147
643,7,0,60,"Texas, US",55,5,1.08864696734059
266,4,27,61,"Argentina",58,3,1.50375939849624
402,0,4,61,"South Africa",56,5,0
2108,39,0,61,"California, US",48,13,1.85009487666034
1227,18,0,61,"Florida, US",53,8,1.46699266503667
758,9,0,61,"Texas, US",55,6,1.18733509234828
387,6,52,62,"Argentina",58,4,1.55038759689922
554,0,4,62,"South Africa",56,6,0
2538,50,0,62,"California, US",48,14,1.97005516154452
1412,18,0,62,"Florida, US",53,9,1.27478753541076
955,12,0,62,"Texas, US",55,7,1.2565445026178
387,8,52,63,"Argentina",58,5,2.0671834625323
709,0,12,63,"South Africa",56,7,0
2998,65,0,63,"California, US",48,15,2.16811207471648
1682,23,0,63,"Florida, US",53,10,1.36741973840666
1229,15,0,63,"Texas, US",55,8,1.22050447518308
502,9,63,64,"Argentina",58,6,1.79282868525896
927,0,12,64,"South Africa",56,8,0
3899,81,0,64,"California, US",48,16,2.07745575788664
2357,29,0,64,"Florida, US",53,11,1.23037759864234
1563,21,0,64,"Texas, US",55,9,1.34357005758157
589,13,72,65,"Argentina",58,7,2.20713073005093
1170,1,31,65,"South Africa",56,9,0.0854700854700855
4657,94,0,65,"California, US",48,17,2.01846682413571
2900,35,0,65,"Florida, US",53,12,1.20689655172414
1937,26,0,65,"Texas, US",55,10,1.34228187919463
690,18,72,66,"Argentina",58,8,2.60869565217391
1187,1,31,66,"South Africa",56,10,0.08424599831508
5095,110,0,66,"California, US",48,18,2.15897939156035
3763,54,0,66,"Florida, US",53,13,1.43502524581451
2455,30,0,66,"Texas, US",55,11,1.22199592668024
745,19,72,67,"Argentina",58,9,2.5503355704698
1280,2,31,67,"South Africa",56,11,0.15625
5852,124,0,67,"California, US",48,19,2.11893369788107
4246,56,0,67,"Florida, US",53,14,1.31888836552049
2792,37,0,67,"Texas, US",55,12,1.32521489971347
820,23,228,68,"Argentina",58,10,2.80487804878049
1326,3,31,68,"South Africa",56,12,0.226244343891403
7138,146,0,68,"California, US",48,20,2.04539086578874
5473,63,0,68,"Florida, US",53,15,1.15110542663987
3147,45,0,68,"Texas, US",55,13,1.42993326978074
1054,27,240,69,"Argentina",58,11,2.56166982922201
1353,5,31,69,"South Africa",56,13,0.369549150036955
8210,173,0,69,"California, US",48,21,2.10718635809988
6741,85,0,69,"Florida, US",53,16,1.26094051327696
3809,54,0,69,"Texas, US",55,14,1.41769493305329
1054,28,248,70,"Argentina",58,12,2.65654648956357
1380,5,50,70,"South Africa",56,14,0.36231884057971
9399,199,0,70,"California, US",48,22,2.11724651558676
6956,87,0,70,"Florida, US",53,17,1.25071880391029
4355,66,0,70,"Texas, US",55,15,1.51549942594719
1133,36,256,71,"Argentina",58,13,3.17740511915269
1462,5,50,71,"South Africa",56,15,0.341997264021888
10773,238,0,71,"California, US",48,23,2.20922677063028
9008,164,0,71,"Florida, US",53,18,1.82060390763766
5069,77,0,71,"Texas, US",55,16,1.51903728546064
1265,39,266,72,"Argentina",58,14,3.08300395256917
1505,9,95,72,"South Africa",56,16,0.598006644518272
12004,265,0,72,"California, US",48,24,2.20759746751083
10268,170,0,72,"Florida, US",53,19,1.65562913907285
5734,100,0,72,"Texas, US",55,17,1.74398325776073
1451,43,279,73,"Argentina",58,15,2.96347346657478
1585,9,95,73,"South Africa",56,17,0.56782334384858
12837,289,0,73,"California, US",48,25,2.25130482199891
11537,195,0,73,"Florida, US",53,20,1.69021409378521
6567,116,0,73,"Texas, US",55,18,1.76640779655855
1451,44,280,74,"Argentina",58,16,3.03239145416954
1655,11,95,74,"South Africa",56,18,0.664652567975831
15034,348,0,74,"California, US",48,26,2.31475322602102
12350,221,0,74,"Florida, US",53,21,1.78947368421053
7209,136,0,74,"Texas, US",55,19,1.88653072548204
1554,48,325,75,"Argentina",58,17,3.08880308880309
1686,12,95,75,"South Africa",56,19,0.711743772241993
16019,380,0,75,"California, US",48,27,2.37218303264873
13324,236,0,75,"Florida, US",53,22,1.77123986790754
8043,150,0,75,"Texas, US",55,20,1.86497575531518
1628,56,338,76,"Argentina",58,18,3.43980343980344
1749,13,95,76,"South Africa",56,20,0.743281875357347
17351,432,0,76,"California, US",48,28,2.4897700420725
14545,283,0,76,"Florida, US",53,23,1.94568580268133
8925,160,0,76,"Texas, US",55,21,1.79271708683473
1715,63,358,77,"Argentina",58,19,3.6734693877551
1845,18,95,77,"South Africa",56,21,0.975609756097561
18897,495,0,77,"California, US",48,29,2.61946340688998
15456,309,0,77,"Florida, US",53,24,1.99922360248447
9777,189,0,77,"Texas, US",55,22,1.93310831543418
1795,72,365,78,"Argentina",58,20,4.01114206128134
1934,18,95,78,"South Africa",56,22,0.93071354705274
19710,544,0,78,"California, US",48,30,2.76002029426687
16364,354,0,78,"Florida, US",53,25,2.16328526032755
11208,210,0,78,"Texas, US",55,23,1.87366167023555
1975,82,375,79,"Argentina",58,21,4.15189873417722
2003,24,410,79,"South Africa",56,23,1.19820269595607
21081,583,0,79,"California, US",48,31,2.7655234571415
17531,390,0,79,"Florida, US",53,26,2.22463065426958
12105,238,0,79,"Texas, US",55,24,1.96612969847171
1975,83,440,80,"Argentina",58,22,4.20253164556962
2028,25,410,80,"South Africa",56,24,1.232741617357
21706,604,0,80,"California, US",48,32,2.78264074449461
18494,438,0,80,"Florida, US",53,27,2.3683356764356
13023,266,0,80,"Texas, US",55,25,2.04254012132381
2142,90,468,81,"Argentina",58,23,4.20168067226891
2173,25,410,81,"South Africa",56,25,1.15048320294524
22795,640,0,81,"California, US",48,33,2.80763325290634
19895,461,0,81,"Florida, US",53,28,2.31716511686353
13677,283,0,81,"Texas, US",55,26,2.06916721503254
2208,97,515,82,"Argentina",58,24,4.39311594202899
2272,27,410,82,"South Africa",56,26,1.18838028169014
23931,714,0,82,"California, US",48,34,2.98357778613514
21019,499,0,82,"Florida, US",53,29,2.37404253294638
14275,305,0,82,"Texas, US",55,27,2.13660245183888
2277,102,559,83,"Argentina",58,25,4.47957839262187
2415,27,410,83,"South Africa",56,27,1.11801242236025
25356,767,0,83,"California, US",48,35,3.02492506704528
21628,571,0,83,"Florida, US",53,30,2.64009617162937
15006,342,0,83,"Texas, US",55,28,2.27908836465414
2443,111,596,84,"Argentina",58,26,4.54359394187474
2506,34,410,84,"South Africa",56,28,1.35674381484437
26686,860,0,84,"California, US",48,36,3.22266356891254
22511,596,0,84,"Florida, US",53,31,2.64759450935098
15907,375,0,84,"Texas, US",55,29,2.35745269378261
2571,115,631,85,"Argentina",58,27,4.4729677168417
2605,48,903,85,"South Africa",56,29,1.8426103646833
27677,956,0,85,"California, US",48,37,3.45413158940637
23343,668,0,85,"Florida, US",53,32,2.8616715931971
16876,414,0,85,"Texas, US",55,30,2.45318795923205
2669,123,666,86,"Argentina",58,28,4.608467590858
2783,50,903,86,"South Africa",56,30,1.79662234998203
29157,1037,0,86,"California, US",48,38,3.55660733271599
24759,725,0,86,"Florida, US",53,33,2.92822811906781
17849,451,0,86,"Texas, US",55,31,2.52675219900275
2758,129,685,87,"Argentina",58,29,4.67730239303843
3034,52,903,87,"South Africa",56,31,1.7139090309822
30491,1140,0,87,"California, US",48,39,3.73880817290348
25492,748,0,87,"Florida, US",53,34,2.93425388357132
18704,476,0,87,"Texas, US",55,32,2.54491017964072
2839,132,709,88,"Argentina",58,30,4.64952448045086
3158,54,903,88,"South Africa",56,32,1.70994300189994
31431,1177,0,88,"California, US",48,40,3.74471063599631
26314,774,0,88,"Florida, US",53,35,2.94140001520103
19260,490,0,88,"Texas, US",55,33,2.54413291796469
2941,136,737,89,"Argentina",58,31,4.6242774566474
3300,58,1055,89,"South Africa",56,33,1.75757575757576
33686,1225,0,89,"California, US",48,41,3.63652555957965
27059,822,0,89,"Florida, US",53,36,3.03780627517647
19751,507,0,89,"Texas, US",55,34,2.56695863500582
3031,147,840,90,"Argentina",58,32,4.84988452655889
3465,58,1055,90,"South Africa",56,34,1.67388167388167
35465,1282,0,90,"California, US",48,42,3.61483152403778
27869,867,0,90,"Florida, US",53,37,3.11098353008719
20574,533,0,90,"Texas, US",55,35,2.59064839117333
3144,152,872,91,"Argentina",58,33,4.83460559796438
3635,65,1055,91,"South Africa",56,35,1.78817056396149
37344,1421,0,91,"California, US",48,43,3.80516281062554
28309,893,0,91,"Florida, US",53,38,3.15447384224098
21321,556,0,91,"Texas, US",55,36,2.60775760986821
3435,165,919,92,"Argentina",58,34,4.80349344978166
3953,75,1473,92,"South Africa",56,36,1.89729319504174
39561,1533,0,92,"California, US",48,44,3.87502843709714
29648,987,0,92,"Florida, US",53,39,3.32906098219104
22650,604,0,92,"Texas, US",55,37,2.66666666666667
3607,176,976,93,"Argentina",58,35,4.87940116440255
4220,79,1473,93,"South Africa",56,37,1.87203791469194
41355,1621,0,93,"California, US",48,45,3.91971950187402
30533,1046,0,93,"Florida, US",53,40,3.42580159172043
23642,624,0,93,"Texas, US",55,38,2.63937061162338
3780,185,1030,94,"Argentina",58,36,4.89417989417989
4361,86,1473,94,"South Africa",56,38,1.97202476496216
42368,1689,0,94,"California, US",48,46,3.98649924471299
30839,1055,0,94,"Florida, US",53,41,3.42099289860242
24153,638,0,94,"Texas, US",55,39,2.64149381029272
3892,192,1107,95,"Argentina",58,37,4.93319630010277
4546,87,1473,95,"South Africa",56,39,1.91377034755829
43558,1725,0,95,"California, US",48,47,3.96023692547867
31532,1075,0,95,"Florida, US",53,42,3.40923506279335
24967,651,0,95,"Texas, US",55,40,2.60744182320663
4003,197,1140,96,"Argentina",58,38,4.92130901823632
4793,90,1473,96,"South Africa",56,40,1.877738368454
44966,1779,0,96,"California, US",48,48,3.9563225548192
32138,1088,0,96,"Florida, US",53,43,3.38540046051403
25321,666,0,96,"Texas, US",55,41,2.6302278740966
4127,207,1162,97,"Argentina",58,39,5.01574993942331
4996,93,2073,97,"South Africa",56,41,1.86148919135308
46164,1864,0,97,"California, US",48,49,4.03777835542847
32848,1171,0,97,"Florida, US",53,44,3.56490501704822
26357,719,0,97,"Texas, US",55,42,2.72792806465076
4285,214,1192,98,"Argentina",58,40,4.99416569428238
5350,103,2073,98,"South Africa",56,42,1.92523364485981
48747,1946,0,98,"California, US",48,50,3.99204053582785
33193,1218,0,98,"Florida, US",53,45,3.66944837766999
27257,754,0,98,"Texas, US",55,43,2.7662618776828
4428,218,1256,99,"Argentina",58,41,4.92321589882565
5647,103,2073,99,"South Africa",56,43,1.82397733309722
50130,2031,0,99,"California, US",48,51,4.05146618791143
33690,1268,0,99,"Florida, US",53,46,3.76372810923123
28727,812,0,99,"Texas, US",55,44,2.82660911337766
4532,225,1292,100,"Argentina",58,42,4.96469549867608
5951,116,2382,100,"South Africa",56,44,1.94925222651655
52026,2126,0,100,"California, US",48,52,4.08641832929689
34728,1314,0,100,"Florida, US",53,47,3.78369039391845
29692,840,0,100,"Texas, US",55,45,2.8290448605685
4681,237,1320,101,"Argentina",58,43,5.06302072206793
6336,123,2549,101,"South Africa",56,45,1.94128787878788
53347,2180,0,101,"California, US",48,53,4.0864528464581
35463,1364,0,101,"Florida, US",53,48,3.84626230155373
30917,863,0,101,"Texas, US",55,46,2.79134456771356
4783,246,1354,102,"Argentina",58,44,5.14321555509095
6783,131,2549,102,"South Africa",56,46,1.9312988353236
54903,2216,0,102,"California, US",48,54,4.0362093146094
36078,1379,0,102,"Florida, US",53,49,3.82227396197128
31998,878,0,102,"Texas, US",55,47,2.74392149509344
4887,260,1442,103,"Argentina",58,45,5.32023736443626
7220,138,2746,103,"South Africa",56,47,1.91135734072022
55884,2278,0,103,"California, US",48,55,4.07630090902584
36897,1399,0,103,"Florida, US",53,50,3.7916361763829
32783,901,0,103,"Texas, US",55,48,2.74837568251838
5020,264,1472,104,"Argentina",58,46,5.2589641434263
7572,148,2746,104,"South Africa",56,48,1.95456946645536
58456,2381,0,104,"California, US",48,56,4.07314903517175
37439,1471,0,104,"Florida, US",53,51,3.9290579342397
33912,925,0,104,"Texas, US",55,49,2.7276480301958
5208,273,1524,105,"Argentina",58,47,5.24193548387097
7808,153,3153,105,"South Africa",56,49,1.95952868852459
60616,2464,0,105,"California, US",48,57,4.06493335093045
38002,1539,0,105,"Florida, US",53,52,4.04978685332351
34928,954,0,105,"Texas, US",55,50,2.7313330279432
5371,282,1601,106,"Argentina",58,48,5.2504189164029
8232,161,3153,106,"South Africa",56,50,1.95578231292517
62148,2535,0,106,"California, US",48,58,4.07897277466692
38828,1600,0,106,"Florida, US",53,53,4.12073761203255
36036,985,0,106,"Texas, US",55,51,2.73337773337773
5611,293,1659,107,"Argentina",58,49,5.22188558189271
8895,178,3153,107,"South Africa",56,51,2.00112422709387
63779,2613,0,107,"California, US",48,59,4.09695981435896
39199,1669,0,107,"Florida, US",53,54,4.25776167759382
37246,1025,0,107,"Texas, US",55,52,2.75197336626752
5776,300,1728,108,"Argentina",58,50,5.19390581717451
9420,186,3983,108,"South Africa",56,52,1.97452229299363
66558,2687,0,108,"California, US",48,60,4.03708044111902
40001,1715,0,108,"Florida, US",53,55,4.28739281517962
38394,1066,0,108,"Texas, US",55,53,2.77647549096213
6034,305,1757,109,"Argentina",58,51,5.05469008949287
10015,194,4173,109,"South Africa",56,53,1.93709435846231
67600,2716,0,109,"California, US",48,61,4.01775147928994
40596,1721,0,109,"Florida, US",53,56,4.23933392452458
39258,1094,0,109,"Texas, US",55,54,2.78669315808243
6278,314,1837,110,"Argentina",58,52,5.00159286396942
10652,206,4357,110,"South Africa",56,54,1.93390912504694
69329,2779,0,110,"California, US",48,62,4.00842360339829
40982,1735,0,110,"Florida, US",53,57,4.23356595578547
40555,1117,0,110,"Texas, US",55,55,2.75428430526446
6563,319,1862,111,"Argentina",58,53,4.86058205089136
11350,206,4357,111,"South Africa",56,55,1.81497797356828
70978,2879,0,111,"California, US",48,63,4.05618642396235
41923,1779,0,111,"Florida, US",53,58,4.24349402475968
41432,1146,0,111,"Texas, US",55,56,2.76597798802858
6879,329,2266,112,"Argentina",58,54,4.78267189998546
12074,219,4745,112,"South Africa",56,56,1.81381480867981
72798,2957,0,112,"California, US",48,64,4.06192477815325
42402,1827,0,112,"Florida, US",53,59,4.30875902080091
43020,1172,0,112,"Texas, US",55,57,2.72431427243143
7134,353,2385,113,"Argentina",58,55,4.94813568825343
12739,238,5676,113,"South Africa",56,57,1.86827851479708
74871,3052,0,113,"California, US",48,65,4.07634464612467
43210,1875,0,113,"Florida, US",53,60,4.33927331636195
44480,1235,0,113,"Texas, US",55,58,2.77652877697842
7479,356,2497,114,"Argentina",58,56,4.7599946516914
13524,247,6083,114,"South Africa",56,58,1.82638272700385
76693,3136,0,114,"California, US",48,66,4.08903028959618
44138,1917,0,114,"Florida, US",53,61,4.34319633875572
45721,1280,0,114,"Texas, US",55,59,2.79958881039347
7805,363,2534,115,"Argentina",58,57,4.65086483023703
14355,261,6478,115,"South Africa",56,59,1.81818181818182
78725,3208,0,115,"California, US",48,67,4.07494442680216
44811,1964,0,115,"Florida, US",53,62,4.38285242462788
47452,1318,0,115,"Texas, US",55,60,2.77754362302959
8068,373,2569,116,"Argentina",58,58,4.6232027764006
15515,264,7006,116,"South Africa",56,60,1.70157911698356
80166,3240,0,116,"California, US",48,68,4.04161365167278
45588,1973,0,116,"Florida, US",53,63,4.32789330525577
48396,1343,0,116,"Texas, US",55,61,2.77502272915117
8371,382,2625,117,"Argentina",58,59,4.56337355154701
16433,286,7298,117,"South Africa",56,61,1.7404004138015
81457,3279,0,117,"California, US",48,69,4.02543673349129
46442,1997,0,117,"Florida, US",53,64,4.29998708065975
49177,1350,0,117,"Texas, US",55,62,2.7451857575696
8809,393,2872,118,"Argentina",58,60,4.46134635032353
17200,312,7960,118,"South Africa",56,62,1.81395348837209
83752,3403,0,118,"California, US",48,70,4.06318655076894
46944,2052,0,118,"Florida, US",53,65,4.37116564417178
50552,1388,0,118,"Texas, US",55,63,2.74568760879886
9283,403,2933,119,"Argentina",58,61,4.34126898631908
18003,339,8950,119,"South Africa",56,63,1.88301949675054
85997,3497,0,119,"California, US",48,71,4.06642092166006
47471,2096,0,119,"Florida, US",53,66,4.4153272524278
51673,1426,0,119,"Texas, US",55,64,2.75966171888607
9931,416,3032,120,"Argentina",58,62,4.18890343369248
19137,369,8950,120,"South Africa",56,64,1.92820191252547
88031,3583,0,120,"California, US",48,72,4.07015710374754
48675,2144,0,120,"Florida, US",53,67,4.40472521828454
73739,5558,0,120,"Sao Paulo, Brazil",119,1,7.53739540812867
53053,1460,0,120,"Texas, US",55,65,2.75196501611596
10649,433,3062,121,"Argentina",58,63,4.06610949384919
20125,397,10104,121,"South Africa",56,65,1.97267080745342
90252,3666,0,121,"California, US",48,73,4.06195984576519
49451,2190,0,121,"Florida, US",53,68,4.42862631696022
76871,5773,0,121,"Sao Paulo, Brazil",119,2,7.50998425934358
53539,1470,0,121,"Texas, US",55,66,2.74566204075534
11353,445,3530,122,"Argentina",58,64,3.91966881000617
21343,407,10104,122,"South Africa",56,66,1.90694841399991
92539,3738,0,122,"California, US",48,74,4.03937799198176
50127,2233,0,122,"Florida, US",53,69,4.45468509984639
80558,6045,0,122,"Sao Paulo, Brazil",119,3,7.50391022617245
54776,1478,0,122,"Texas, US",55,67,2.69826201256025
12076,452,3732,123,"Argentina",58,65,3.74296124544551
22583,429,11100,123,"South Africa",56,67,1.89965903555772
94020,3754,0,123,"California, US",48,75,3.99276749627739
50867,2237,0,123,"Florida, US",53,70,4.39774313405548
82161,6163,0,123,"Sao Paulo, Brazil",119,4,7.50112583829311
55861,1528,0,123,"Texas, US",55,68,2.73536098530281
12628,467,3999,124,"Argentina",58,66,3.69813113715553
23615,481,11917,124,"South Africa",56,68,2.03684099089562
96400,3769,0,124,"California, US",48,76,3.9097510373444
51746,2252,0,124,"Florida, US",53,71,4.35202720983264
83625,6220,0,124,"Sao Paulo, Brazil",119,5,7.43796711509716
56409,1533,0,124,"Texas, US",55,69,2.71765143860022
13228,484,4167,125,"Argentina",58,67,3.65890535228304
24264,524,12741,125,"South Africa",56,69,2.15957797560171
99387,3819,0,125,"California, US",48,77,3.84255486129977
52255,2259,0,125,"Florida, US",53,72,4.32303128887188
86017,6423,0,125,"Sao Paulo, Brazil",119,6,7.46712859085995
57230,1546,0,125,"Texas, US",55,70,2.70138039489778
13933,500,4349,126,"Argentina",58,68,3.58860259814828
25937,552,13451,126,"South Africa",56,70,2.12823379727802
101050,3895,0,126,"California, US",48,78,3.85452746165265
52634,2319,0,126,"Florida, US",53,73,4.40589732872288
89483,6712,0,126,"Sao Paulo, Brazil",119,7,7.50086608629572
58542,1581,0,126,"Texas, US",55,71,2.70062519216972
14702,508,4617,127,"Argentina",58,69,3.45531220242144
27403,577,14370,127,"South Africa",56,71,2.1056088749407
103813,3993,0,127,"California, US",48,79,3.84633909048
53285,2364,0,127,"Florida, US",53,74,4.43652059679084
95865,6980,0,127,"Sao Paulo, Brazil",119,8,7.2810723413133
60395,1611,0,127,"Texas, US",55,72,2.66743935756271
15419,520,4788,128,"Argentina",58,70,3.37246254620922
29240,611,15093,128,"South Africa",56,72,2.08960328317373
106622,4077,0,128,"California, US",48,80,3.82378871152295
54497,2413,0,128,"Florida, US",53,75,4.42776666605501
101556,7275,0,128,"Sao Paulo, Brazil",119,9,7.16353538934184
60901,1619,0,128,"Texas, US",55,73,2.65841283394361
16214,528,4788,129,"Argentina",58,71,3.25644504748982
30967,643,16116,129,"South Africa",56,73,2.07640391384377
109895,4144,0,129,"California, US",48,81,3.77087219618727
55424,2447,0,129,"Florida, US",53,76,4.41505484988453
107142,7532,0,129,"Sao Paulo, Brazil",119,10,7.02992290604992
62675,1652,0,129,"Texas, US",55,74,2.63581970482649
16851,539,5336,130,"Argentina",58,72,3.19862322710818
32683,683,16809,130,"South Africa",56,74,2.08977144081021
111951,4172,0,130,"California, US",48,82,3.72663040080035
56163,2451,0,130,"Florida, US",53,77,4.3640831152182
109698,7615,0,130,"Sao Paulo, Brazil",119,11,6.94178562963773
64652,1675,0,130,"Texas, US",55,75,2.59079378828188
17415,556,5521,131,"Argentina",58,73,3.19265001435544
34357,705,17291,131,"South Africa",56,75,2.05198358413133
114733,4217,0,131,"California, US",48,83,3.67549005081363
56830,2460,0,131,"Florida, US",53,78,4.32869963047686
111296,7667,0,131,"Sao Paulo, Brazil",119,12,6.88883697527315
65593,1683,0,131,"Texas, US",55,76,2.56582257253061
18319,569,5709,132,"Argentina",58,74,3.10606474152519
35812,755,18313,132,"South Africa",56,76,2.10823187758293
117215,4305,0,132,"California, US",48,84,3.67273813078531
57447,2530,0,132,"Florida, US",53,79,4.40405939387609
118295,7994,0,132,"Sao Paulo, Brazil",119,13,6.75768206602139
67310,1716,0,132,"Texas, US",55,77,2.54939830634378
19268,583,5896,133,"Argentina",58,75,3.0257421631721
37525,792,19682,133,"South Africa",56,77,2.11059293804131
119348,4374,0,133,"California, US",48,85,3.6649126922948
58764,2566,0,133,"Florida, US",53,80,4.36661901844667
123483,8276,0,133,"Sao Paulo, Brazil",119,14,6.70213713628597
68877,1744,0,133,"Texas, US",55,78,2.53204988602872
20197,608,5993,134,"Argentina",58,76,3.01034807149577
40792,848,21311,134,"South Africa",56,78,2.07883898803687
122168,4444,0,134,"California, US",48,86,3.63761377774867
60183,2607,0,134,"Florida, US",53,81,4.3317880464583
129200,8560,0,134,"Sao Paulo, Brazil",119,15,6.62538699690402
70555,1776,0,134,"Texas, US",55,79,2.51718517468642
21037,632,6088,135,"Argentina",58,77,3.00423064125113
43434,908,23088,135,"South Africa",56,79,2.0905281576645
125738,4529,0,135,"California, US",48,87,3.60193418059775
61488,2660,0,135,"Florida, US",53,82,4.32604735883424
134565,8842,0,135,"Sao Paulo, Brazil",119,16,6.57080221454316
72548,1812,0,135,"Texas, US",55,80,2.49765672382423
22020,648,6180,136,"Argentina",58,78,2.94277929155313
45973,952,24258,136,"South Africa",56,80,2.07078067561395
128593,4607,0,136,"California, US",48,88,3.58262113800907
62758,2688,0,136,"Florida, US",53,83,4.28311928359731
140549,9058,0,136,"Sao Paulo, Brazil",119,17,6.44472746159702
74470,1833,0,136,"Texas, US",55,81,2.46139384987243
22794,664,6909,137,"Argentina",58,79,2.91304729314732
48285,998,24364,137,"South Africa",56,81,2.06689448068758
130615,4632,0,137,"California, US",48,89,3.54630019523026
63938,2700,0,137,"Florida, US",53,84,4.22284087709969
143073,9145,0,137,"Sao Paulo, Brazil",119,18,6.39184192684853
75408,1841,0,137,"Texas, US",55,82,2.4413855293868
23620,693,7305,138,"Argentina",58,80,2.93395427603726
50879,1080,26099,138,"South Africa",56,82,2.12268322883704
133816,4657,0,138,"California, US",48,90,3.48015185030191
64904,2712,0,138,"Florida, US",53,85,4.17847898434611
144593,9188,49295,138,"Sao Paulo, Brazil",119,19,6.35438783343592
76463,1848,0,138,"Texas, US",55,83,2.41685521101709
24761,717,7568,139,"Argentina",58,81,2.89568272686887
52991,1162,29006,139,"South Africa",56,83,2.19282519673152
136641,4745,0,139,"California, US",48,91,3.47260339136862
66000,2765,0,139,"Florida, US",53,86,4.18939393939394
150138,9522,49295,139,"Sao Paulo, Brazil",119,20,6.34216520800863
78208,1867,0,139,"Texas, US",55,84,2.38722381342062
25987,735,7991,140,"Argentina",58,82,2.82833724554585
55421,1210,31505,140,"South Africa",56,84,2.18328792335035
139715,4854,0,140,"California, US",48,92,3.4742153669971
67371,2801,0,140,"Florida, US",53,87,4.15757521782369
156316,9862,49295,140,"Sao Paulo, Brazil",119,21,6.30901507203357
80777,1905,0,140,"Texas, US",55,85,2.35834457828342
27373,765,8332,141,"Argentina",58,83,2.79472472874731
58568,1284,33252,141,"South Africa",56,85,2.19232345308018
5429,80,3048,141,"Andhra Pradesh, India",140,1,1.4735678762203
143377,4934,0,141,"California, US",48,93,3.44127719229723
69069,2848,0,141,"Florida, US",53,88,4.12341281906499
97648,3590,46078,141,"Maharashtra, India",140,1,3.67647058823529
162520,10145,49295,141,"Sao Paulo, Brazil",119,22,6.24230863893675
82658,1930,0,141,"Texas, US",55,86,2.33492220958649
28764,785,8743,142,"Argentina",58,84,2.72910582672785
61927,1354,35006,142,"South Africa",56,86,2.18644533079271
5429,80,3048,142,"Andhra Pradesh, India",140,2,1.4735678762203
146659,4978,0,142,"California, US",48,94,3.39426833675397
70971,2877,0,142,"Florida, US",53,89,4.05376844063068
97648,3590,46078,142,"Maharashtra, India",140,2,3.67647058823529
167900,10368,49295,142,"Sao Paulo, Brazil",119,23,6.17510422870756
84927,1956,0,142,"Texas, US",55,87,2.30315447384224
30295,815,9083,143,"Argentina",58,85,2.6902129064202
65736,1423,36850,143,"South Africa",56,87,2.16471948399659
5680,80,3105,143,"Andhra Pradesh, India",140,3,1.40845070422535
150018,5076,0,143,"California, US",48,95,3.38359396872375
73552,2925,0,143,"Florida, US",53,90,3.97677833369589
101141,3717,47796,143,"Maharashtra, India",140,3,3.6750674800526
